time,d2m,msdwswrf,ssrd,t2m,tcc,tp,u10,v10
2019-01-03 01:00:00,240.38972,,2.0,243.47557,,2.2999011e-05,-0.7554133,0.3480677
2019-01-03 02:00:00,239.47525,,2.0,242.62296,,2.7479138e-05,-0.89442635,0.18984145
2019-01-03 03:00:00,239.06682,,2.0,242.23337,,3.0615367e-05,-0.9450623,0.1545003
2019-01-03 04:00:00,238.8077,,2.0,241.98566,,3.3154618e-05,-0.98594856,0.11785254
2019-01-03 05:00:00,238.86009,,2.0,242.03966,,3.539445e-05,-0.98053896,0.108270615
2019-01-03 06:00:00,239.14148,,2.0,242.30466,,3.70373e-05,-0.9513525,0.08948007
2019-01-03 07:00:00,239.25847,,2.0,242.4134,,3.8530678e-05,-0.9280789,0.041943762
2019-01-03 08:00:00,239.38911,,2.0,242.54158,,3.9725564e-05,-0.9138001,0.021037731
2019-01-03 09:00:00,239.51833,,2.0,242.65536,,4.0621497e-05,-0.8975085,0.016682316
2019-01-03 10:00:00,239.96335,,2.0,243.08311,,4.121894e-05,-0.8750526,0.005482655
2019-01-03 11:00:00,240.2677,,2.0,243.37764,,4.1666906e-05,-0.8420291,-0.010943506
2019-01-03 12:00:00,240.38255,,2.0,243.49214,,4.196586e-05,-0.8054203,-0.052257795
2019-01-03 13:00:00,240.39906,,2.0,243.50943,,4.226435e-05,-0.78831095,-0.06426632
2019-01-03 14:00:00,237.7317,,2.0,240.97821,,4.2563304e-05,-0.82762456,-0.21054628
2019-01-03 15:00:00,238.10783,,2.0,241.34186,,4.2861793e-05,-0.7829643,-0.22939904
2019-01-03 16:00:00,238.69357,,2.0,241.88051,,4.301127e-05,-0.7463554,-0.24669628
2019-01-03 17:00:00,239.13644,,2.0,242.29674,,4.301127e-05,-0.6980468,-0.2589537
2019-01-03 18:00:00,239.47166,,2.0,242.61864,,4.301127e-05,-0.681881,-0.26162916
2019-01-03 19:00:00,239.73724,,2.0,242.87068,,4.301127e-05,-0.6991161,-0.22131039
2019-01-03 20:00:00,239.83487,,2.0,242.96501,,1.4901161e-07,-0.70509183,-0.20003104
2019-01-03 21:00:00,239.96335,,2.0,243.0968,,1.4901161e-07,-0.7181754,-0.2013999
2019-01-03 22:00:00,239.91168,,2.0,243.03487,,2.9848889e-07,-0.72194946,-0.18615592
2019-01-03 23:00:00,239.8277,,2.0,242.95926,,4.4796616e-07,-0.721635,-0.18534705
2019-01-04 00:00:00,239.78821,,2.0,242.92108,,5.9697777e-07,-0.7134577,-0.20096435
