time,d2m,msdwswrf,ssrd,t2m,tcc,u10,v10
2019-01-01 06:00:00,242.81789,0.0,0.0,245.7876,0.9993286,0.760219,3.214255
2019-01-01 07:00:00,242.3678,0.0,0.0,245.26566,1.0,0.556787,3.1386783
2019-01-01 08:00:00,241.56001,0.0,0.0,244.59303,1.0,0.35657933,3.3287845
2019-01-01 09:00:00,241.51926,0.0,0.0,244.71356,1.0,0.51871073,3.532016
2019-01-01 10:00:00,241.89145,0.0,0.0,245.21317,1.0,0.96150136,3.809554
2019-01-01 11:00:00,242.48553,0.0,0.0,245.63501,1.0,1.4049063,4.039248
2019-01-01 12:00:00,242.81335,0.0,0.0,246.00143,1.0,1.6003544,4.005376
2019-01-01 13:00:00,242.33157,0.0,0.0,245.50378,0.9993286,1.4999435,3.7291083
2019-01-01 14:00:00,242.34879,0.0,0.0,245.34048,1.0,1.332899,3.5015311
2019-01-01 15:00:00,241.2838,0.0,0.0,244.10315,1.0,1.0751162,3.1890628
2019-01-01 16:00:00,242.30078,0.0,0.0,244.97017,1.0,1.0241431,3.08533
2019-01-01 17:00:00,241.90323,0.0,0.0,244.57942,0.9933011,0.8660035,2.9343882
2019-01-01 18:00:00,241.62158,0.0,0.0,244.33838,0.9993286,0.838214,2.9231682
2019-01-01 19:00:00,241.5102,0.0,0.0,244.2402,1.0,0.86523587,2.8607168
2019-01-01 20:00:00,242.20026,0.0,0.0,244.83797,1.0,0.96257615,2.756984
2019-01-01 21:00:00,241.44228,0.0,0.0,243.97388,1.0,0.9662609,2.7002487
2019-01-01 22:00:00,241.23671,0.0,0.0,243.69102,1.0,1.0522397,2.5164933
2019-01-01 23:00:00,241.35986,0.0,0.0,244.00887,0.9973296,1.0783404,2.5776746
2019-01-02 00:00:00,240.93967,0.0,0.0,243.4733,0.998001,0.97255576,2.2971728
2019-01-02 01:00:00,240.85817,0.0,0.0,243.37901,0.99598676,0.86385405,2.2503872
2019-01-02 02:00:00,240.55208,0.0,0.0,243.0952,0.9524667,0.85602385,2.1733284
2019-01-02 03:00:00,240.14003,0.0,0.0,242.66461,0.89956206,0.70156914,2.17354
2019-01-02 04:00:00,239.61026,0.0,0.0,242.29039,0.8921917,0.6811492,2.2514455
2019-01-02 05:00:00,239.18735,0.0,0.0,241.8977,0.89086413,0.5707586,2.3376074
2019-01-02 06:00:00,238.79521,0.0,0.0,241.63042,0.9993286,0.51303,2.485797
2019-01-02 07:00:00,238.51358,0.0,0.0,241.37866,1.0,0.423827,2.4445157
2019-01-02 08:00:00,238.83144,0.0,0.0,241.51474,0.9993286,0.44639644,2.5095074
2019-01-02 09:00:00,239.53418,0.0,0.0,242.35745,1.0,0.4924565,2.5389335
2019-01-02 10:00:00,239.80948,0.0,0.0,242.62573,1.0,0.50796336,2.654098
2019-01-02 11:00:00,239.8765,0.0,0.0,242.61795,1.0,0.4732648,2.722477
2019-01-02 12:00:00,239.26884,0.0,0.0,242.0542,1.0,0.38022348,2.7336972
2019-01-02 13:00:00,239.14024,0.0,0.0,241.98325,1.0,0.2067306,2.8094854
2019-01-02 14:00:00,239.17194,0.0,0.0,241.99977,0.9799185,0.10370964,2.8977642
2019-01-02 15:00:00,238.58603,0.0,0.0,241.31645,1.0,0.103402555,3.1439707
2019-01-02 16:00:00,240.09927,0.0,0.0,242.92218,1.0,0.2557078,3.4981441
2019-01-02 17:00:00,240.90707,0.0,0.0,243.59772,1.0,0.28426504,3.5915036
2019-01-02 18:00:00,241.56091,0.0,0.0,244.32088,1.0,0.4384127,3.8745458
2019-01-02 19:00:00,242.98813,0.0,0.0,245.95285,1.0,0.73657477,4.1550474
2019-01-02 20:00:00,243.50523,0.0,0.0,246.26193,1.0,1.0973785,4.4859343
2019-01-02 21:00:00,244.41626,0.0,0.0,247.35542,1.0,1.2570534,4.7687645
2019-01-02 22:00:00,244.88626,0.0,0.0,247.94348,1.0,1.3395009,5.1591387
2019-01-02 23:00:00,245.13893,0.0,0.0,248.20786,1.0,1.9316797,5.7635403
2019-01-03 00:00:00,245.74478,0.0,0.0,248.88824,1.0,3.0243778,6.0607667
2019-01-03 01:00:00,245.53015,0.0,0.0,248.56166,1.0,3.8331923,5.7104044
2019-01-03 02:00:00,244.77216,0.0,0.0,247.61786,1.0,4.1293583,5.0831385
2019-01-03 03:00:00,243.3875,0.0,0.0,246.2007,1.0,3.9687624,4.5799284
2019-01-03 04:00:00,244.69066,0.0,0.0,247.38847,1.0,3.638512,4.0489864
2019-01-03 05:00:00,243.86203,0.0,0.0,246.3572,1.0,2.9256556,3.5059772
2019-01-03 06:00:00,243.34947,0.0,0.0,245.71762,1.0,2.4400291,3.0855417
2019-01-03 07:00:00,242.63948,0.0,0.0,244.8613,1.0,2.0584984,2.7946665
2019-01-03 08:00:00,243.1122,0.0,0.0,245.33563,1.0,1.9550167,2.638644
2019-01-03 09:00:00,242.0427,0.0,0.0,244.50069,1.0,1.9497967,2.4929948
2019-01-03 10:00:00,242.01099,0.0,0.0,244.52597,1.0,1.8550664,2.244883
2019-01-03 11:00:00,241.12804,0.0,0.0,243.61133,1.0,1.6451862,2.0393229
2019-01-03 12:00:00,240.91069,0.0,0.0,243.58022,0.9725482,1.4363806,1.8777959
2019-01-03 13:00:00,240.91159,0.0,0.0,243.58896,0.998001,1.3299818,1.8032777
2019-01-03 14:00:00,240.52853,0.0,0.0,243.24683,0.9946439,1.2369405,1.7277011
2019-01-03 15:00:00,240.1989,0.0,0.0,242.91829,1.0,1.0639082,1.6754112
2019-01-03 16:00:00,240.85907,0.0,0.0,243.61618,0.91975033,1.129467,1.540982
2019-01-03 17:00:00,240.56384,0.0,0.0,243.36736,0.97321963,0.93340474,1.5659626
2019-01-03 18:00:00,240.23874,0.0,0.0,243.0466,1.0,0.83806044,1.6552998
2019-01-03 19:00:00,239.4726,0.0,0.0,242.24762,0.98661745,0.712163,1.7353222
2019-01-03 20:00:00,238.67929,0.0,0.0,241.33589,0.9799185,0.39926165,1.798832
2019-01-03 21:00:00,238.18121,0.0,0.0,240.80908,0.959837,0.36901554,1.7025088
2019-01-03 22:00:00,237.96387,0.0,0.0,240.67592,0.9933011,0.45468724,1.6320128
2019-01-03 23:00:00,237.62518,0.0,0.0,240.33183,1.0,0.5448114,1.5926368
2019-01-04 00:00:00,237.52466,0.0,0.0,240.3153,0.9933011,0.5927139,1.5401353
2019-01-04 01:00:00,237.68767,0.0,0.0,240.4543,0.98661745,0.59977645,1.4863636
2019-01-04 02:00:00,237.24846,0.0,0.0,240.02954,1.0,0.5094987,1.4002019
2019-01-04 03:00:00,237.71846,0.0,0.0,240.58844,1.0,0.48109502,1.31277
2019-01-04 04:00:00,237.05647,0.0,0.0,239.9129,0.87949586,0.53636706,1.1717781
2019-01-04 05:00:00,237.24301,0.0,0.0,240.02663,0.97321963,0.46758407,1.1410817
2019-01-04 06:00:00,237.30551,0.0,0.0,239.99164,0.98661745,0.30023253,1.08731
2019-01-04 07:00:00,237.64691,0.0,0.0,240.22298,1.0,0.18738538,1.1311318
2019-01-04 08:00:00,238.03995,0.0,0.0,240.64774,0.9906612,-0.00806278,1.1533602
2019-01-04 09:00:00,238.33246,0.0,0.0,240.8567,1.0,-0.0992617,1.2211041
2019-01-04 10:00:00,238.68564,0.0,0.0,241.26105,1.0,-0.20443213,1.240157
2019-01-04 11:00:00,238.28084,0.0,0.0,240.59038,1.0,-0.3154369,1.2985861
2019-01-04 12:00:00,238.64217,0.0,0.0,240.94905,1.0,-0.44547975,1.22682
2019-01-04 13:00:00,238.60957,0.0,0.0,241.1376,1.0,-0.58166397,1.1650038
2019-01-04 14:00:00,239.23352,0.0,0.0,241.20566,1.0,-0.7576134,1.149338
2019-01-04 15:00:00,239.64195,0.0,0.0,241.94534,1.0,-0.83975387,1.2103075
2019-01-04 16:00:00,240.57562,0.0,0.0,242.55283,1.0,-0.7875525,1.4986422
2019-01-04 17:00:00,240.29308,0.0,0.0,242.63641,1.0,-0.636629,1.5699849
2019-01-04 18:00:00,240.35103,0.0,0.0,242.53728,1.0,-0.6237322,1.6851494
2019-01-04 19:00:00,240.5729,0.0,0.0,242.75403,1.0,-0.58765185,1.6495839
2019-01-04 20:00:00,240.91522,0.0,0.0,243.12338,1.0,-0.4913863,1.6874781
2019-01-04 21:00:00,241.64151,0.0,0.0,243.83197,1.0,-0.37347257,1.6658847
2019-01-04 22:00:00,242.174,0.0,0.0,244.41516,1.0,-0.2948634,1.6751995
2019-01-04 23:00:00,242.39134,0.0,0.0,244.70773,1.0,-0.23559946,1.6917121
2019-01-05 00:00:00,242.29355,0.0,0.0,244.61928,1.0,-0.25433052,1.6616508
2019-01-05 01:00:00,242.02367,0.0,0.0,244.45695,1.0,-0.13503498,1.7067428
2019-01-05 02:00:00,241.56635,0.0,0.0,244.13231,1.0,-0.20120794,1.678375
2019-01-05 03:00:00,241.11989,0.0,0.0,243.79697,1.0,-0.19675547,1.6779516
2019-01-05 04:00:00,241.4133,0.0,0.0,244.20909,1.0,-0.24312258,1.6292608
2019-01-05 05:00:00,241.5926,0.0,0.0,244.52693,1.0,-0.22915107,1.6023749
2019-01-05 06:00:00,241.59079,0.0,0.0,244.45598,1.0,-0.13795215,1.6872663
2019-01-05 07:00:00,241.9974,0.0,0.0,244.86032,0.9933011,-0.062720716,1.6286256
2019-01-05 08:00:00,242.29898,0.0,0.0,245.323,1.0,0.020955086,1.5196004
2019-01-05 09:00:00,241.98836,0.0,0.0,244.97989,1.0,0.028631747,1.4469875
2019-01-05 10:00:00,242.50092,0.0,0.0,245.49698,1.0,0.13180625,1.4090933
2019-01-05 11:00:00,242.54439,0.0,0.0,245.60583,1.0,0.142093,1.4776839
2019-01-05 12:00:00,242.68657,0.0,0.0,245.63792,1.0,0.18692479,1.4012604
2019-01-05 13:00:00,242.84415,0.0,0.0,245.843,1.0,0.1658907,1.417773
2019-01-05 14:00:00,242.43753,0.0,0.0,245.31522,1.0,0.23835853,1.3667533
2019-01-05 15:00:00,241.89598,0.0,0.0,244.73688,1.0,0.38820723,1.2911766
2019-01-05 16:00:00,240.48506,0.0,0.0,243.59772,0.9933011,0.48385862,1.1965469
