time,d2m,msdwswrf,ssrd,t2m,tcc,u10,v10
2020-01-01 01:00:00,266.07678,0.0,0.0,267.35165,1.0,1.2289488,0.5696359
2020-01-01 02:00:00,265.93124,0.0,0.0,266.88263,1.0,1.0296359,0.43962067
2020-01-01 03:00:00,266.1183,0.0,0.0,267.00467,1.0,0.769209,0.49255347
2020-01-01 04:00:00,265.57184,0.0,0.0,266.73224,1.0,0.4756992,0.6191989
2020-01-01 05:00:00,265.2003,0.0,0.0,266.3384,1.0,-0.06519997,0.59308356
2020-01-01 06:00:00,266.0404,0.0,0.0,267.01987,1.0,-0.28504705,0.78937
2020-01-01 07:00:00,266.3149,0.0,0.0,267.27054,1.0,-0.3704437,0.91713876
2020-01-01 08:00:00,266.41385,0.0,0.0,267.24347,1.0,0.15513623,0.86518884
2020-01-01 09:00:00,266.1636,0.0,0.0,267.03766,0.9998169,0.39242125,0.6162504
2020-01-01 10:00:00,266.15912,0.0,0.0,267.1208,1.0,1.0355028,0.4483258
2020-01-01 11:00:00,266.39404,0.0,0.0,267.32263,1.0,1.2726249,0.31171155
2020-01-01 12:00:00,266.93924,0.011627197,41.75,267.78177,1.0,1.4660709,0.24895042
2020-01-01 13:00:00,267.05414,0.011627197,41.75,267.8992,1.0,1.4804122,0.41322452
2020-01-01 14:00:00,267.88913,0.0,0.0,268.62088,1.0,1.6226854,0.39047885
2020-01-01 15:00:00,268.712,0.0,0.0,269.5121,0.9992523,2.0024066,0.4347065
2020-01-01 16:00:00,269.60764,0.0,0.0,270.79977,0.9813682,3.9591935,0.57693696
2020-01-01 17:00:00,269.3676,0.0,0.0,271.0432,0.97889614,3.80046,0.9213509
2020-01-01 18:00:00,271.10208,0.0,0.0,273.22012,1.0,2.4432418,1.5933303
2020-01-01 19:00:00,270.96417,0.0,0.0,273.65814,1.0,3.3622327,1.5815362
2020-01-01 20:00:00,271.42062,0.0,0.0,273.48398,0.95414525,5.015405,1.3212249
2020-01-01 21:00:00,270.68842,0.0,0.0,273.2584,0.9080769,5.83531,1.3397584
2020-01-01 22:00:00,271.0044,0.0,0.0,273.38834,0.98773134,6.324873,1.2882297
2020-01-01 23:00:00,271.0676,0.0,0.0,273.70892,0.9140128,6.530053,0.31466007
2020-01-02 00:00:00,270.71585,0.0,0.0,273.22342,0.9966124,6.015718,-0.044917658
2020-01-02 01:00:00,270.06918,0.0,0.0,272.73856,0.9992676,5.314456,-0.17324801
2020-01-02 02:00:00,269.75574,0.0,0.0,272.5829,1.0,4.873295,-0.019223511
2020-01-02 03:00:00,269.36188,0.0,0.0,272.2768,1.0,3.8211575,0.08804606
2020-01-02 04:00:00,269.40527,0.0,0.0,272.3434,1.0,3.2235446,0.30651656
2020-01-02 05:00:00,269.0363,0.0,0.0,271.7807,1.0,2.702039,0.5313053
2020-01-02 06:00:00,269.87256,0.0,0.0,272.89227,1.0,2.2426252,0.42445695
2020-01-02 07:00:00,270.11578,0.0,0.0,272.41003,1.0,0.9641217,0.6747994
2020-01-02 08:00:00,269.36313,0.0,0.0,271.58017,1.0,0.4072516,1.3299301
2020-01-02 09:00:00,269.58145,0.0,0.0,271.65802,1.0,0.15660298,1.5771836
2020-01-02 10:00:00,270.32327,0.0,0.0,272.26492,1.0,0.53795385,1.5213023
2020-01-02 11:00:00,270.80267,0.0,0.0,272.3454,1.0,0.48009932,1.5972615
2020-01-02 12:00:00,271.11356,0.023223877,83.625,272.5334,1.0,1.040066,1.7043908
2020-01-02 13:00:00,271.5234,0.011627197,41.75,272.71744,1.0,1.3958305,1.481708
2020-01-02 14:00:00,272.73184,0.0,0.0,274.12585,0.9996338,2.0143037,1.3823012
2020-01-02 15:00:00,273.1353,0.0,0.0,275.14703,0.99642926,2.752397,1.580413
2020-01-02 16:00:00,273.06827,0.0,0.0,275.7711,0.92249703,2.5384166,1.7915823
2020-01-02 17:00:00,272.57544,0.0,0.0,274.8937,0.9872736,2.336985,1.8310362
2020-01-02 18:00:00,272.64056,0.0,0.0,274.70767,0.9576397,2.260226,1.7115514
2020-01-02 19:00:00,272.79633,0.0,0.0,274.70834,0.9075733,1.6958592,1.7493204
2020-01-02 20:00:00,273.0153,0.0,0.0,274.79807,0.9966124,0.51090074,1.9259502
2020-01-02 21:00:00,272.209,0.0,0.0,273.7848,0.9935605,0.2641635,2.2528136
2020-01-02 22:00:00,272.35904,0.0,0.0,273.6786,0.9524667,0.39519167,2.6366813
2020-01-02 23:00:00,273.01657,0.0,0.0,274.44315,1.0,1.824443,3.4601579
2020-01-03 00:00:00,272.80463,0.0,0.0,275.0685,1.0,1.7576251,3.3729663
2020-01-03 01:00:00,272.09476,0.0,0.0,274.7024,0.99166834,2.039727,2.899239
2020-01-03 02:00:00,271.16528,0.0,0.0,273.55127,0.95744133,1.6184483,2.2122364
2020-01-03 03:00:00,270.8965,0.0,0.0,273.1845,0.90381944,1.5402224,2.2849665
2020-01-03 04:00:00,270.41708,0.0,0.0,272.75043,0.85659134,1.6779325,2.2446702
