time,d2m,msdwswrf,ssrd,t2m,tcc,u10,v10
2019-01-01 05:30:00,245.64551,-6.1035156e-05,0.0,247.90492,0.98535085,-0.19708216,-0.34597823
2019-01-01 06:30:00,245.35867,-6.1035156e-05,0.0,248.03769,0.9740131,-0.18751001,-0.3445683
2019-01-01 07:30:00,244.95305,-6.1035156e-05,0.0,247.97336,0.96088994,-0.21897101,-0.32844615
2019-01-01 08:30:00,243.96031,58.36734,210123.0,246.97308,0.9871515,-0.16080153,-0.27204928
2019-01-01 09:30:00,245.33028,199.55957,718415.9,249.09981,1.0,-0.12217808,-0.24017277
2019-01-01 10:30:00,249.1713,335.2846,1207027.0,253.69467,0.9921566,-0.13904655,-0.24759018
2019-01-01 11:30:00,250.34332,451.253,1624575.2,254.80547,0.9945066,-0.16548729,-0.34726554
2019-01-01 12:30:00,251.8851,493.81503,1777737.5,256.26508,0.99169886,-0.1486857,-0.46631202
2019-01-01 13:30:00,253.44556,484.19217,1743095.1,258.52457,0.992828,-0.08583057,-0.6106758
2019-01-01 14:30:00,254.01625,395.9513,1425427.5,259.55618,0.98939466,0.049317956,-0.6256945
2019-01-01 15:30:00,254.02448,259.1362,932953.5,258.63013,0.9960783,0.01845938,-0.6361157
2019-01-01 16:30:00,254.0439,132.82962,478187.75,258.9913,0.9803305,0.024282992,-0.6058943
2019-01-01 17:30:00,253.65994,26.05835,93810.375,259.3063,0.98680055,0.10896003,-0.49573648
2019-01-01 18:30:00,253.57553,-6.1035156e-05,0.0,258.65732,0.9921566,0.15528136,-0.39140224
2019-01-01 19:30:00,253.71448,-6.1035156e-05,0.0,257.81042,0.98376393,0.14490592,-0.355296
2019-01-01 20:30:00,253.38132,-6.1035156e-05,0.0,257.32306,0.99642926,0.1369403,-0.3250746
2019-01-01 21:30:00,253.46947,-6.1035156e-05,0.0,257.40057,0.99916077,0.114114285,-0.31581816
2019-01-01 22:30:00,253.11314,-6.1035156e-05,0.0,256.71942,1.0,0.037938416,-0.3120175
2019-01-01 23:30:00,253.00185,-6.1035156e-05,0.0,256.4737,1.0,0.016317368,-0.26297674
2019-01-02 00:30:00,252.83527,-6.1035156e-05,0.0,256.41513,1.0,0.06129992,-0.23373617
