time,d2m,msdwswrf,ssrd,t2m,tcc,u10,v10
2020-01-01 05:30:00,245.09871,6.1035156e-05,-0.125,248.20404,0.95194787,-0.09482896,-0.07882042
2020-01-01 06:30:00,244.82164,6.1035156e-05,-0.125,248.04169,0.9469122,-0.116894424,-0.060318664
2020-01-01 07:30:00,244.85283,6.1035156e-05,-0.125,248.29208,0.79410374,-0.09315407,-0.065391704
2020-01-01 08:30:00,243.64442,59.16446,213050.12,246.96942,0.7550547,-0.07334614,-0.05129157
2020-01-01 09:30:00,243.71188,209.02979,752499.75,247.0859,0.71319795,-0.030234754,-0.032192975
2020-01-01 10:30:00,246.87288,352.68848,1269666.0,251.50981,0.7626692,-0.016543984,0.09575272
2020-01-01 11:30:00,248.48456,489.78824,1763280.9,253.4562,0.83304596,-0.009188831,0.14812467
2020-01-01 12:30:00,249.34842,581.5124,2093424.2,254.37163,0.82726264,-0.029506505,0.15282471
2020-01-01 13:30:00,251.05585,582.9718,2098678.0,257.52606,0.7852685,-0.12017149,0.1791599
2020-01-01 14:30:00,251.21832,501.93314,1807002.0,258.3268,0.87899226,-0.15847653,0.15700254
2020-01-01 15:30:00,251.34308,376.27374,1354511.8,256.57028,0.79967344,-0.04858625,0.020104364
2020-01-01 16:30:00,250.00195,212.95508,766691.0,256.97754,0.94480646,-0.0057661533,-0.0040673018
2020-01-01 17:30:00,250.77296,40.997437,147589.12,256.31253,0.9811698,-0.012684345,-0.10530479
2020-01-01 18:30:00,250.42699,6.1035156e-05,-0.125,255.72275,0.84436846,-0.025938213,-0.13566859
2020-01-01 19:30:00,249.16492,6.1035156e-05,-0.125,253.50575,0.74791324,-0.033293366,-0.1664054
2020-01-01 20:30:00,248.5832,6.1035156e-05,-0.125,252.26837,0.5511727,-0.01064533,-0.17901348
2020-01-01 21:30:00,247.35594,6.1035156e-05,-0.125,250.79436,0.3678147,-0.020112336,-0.21019791
2020-01-01 22:30:00,246.45291,6.1035156e-05,-0.125,249.43132,0.30483878,-0.008169293,-0.2198218
2020-01-01 23:30:00,245.90237,6.1035156e-05,-0.125,248.65623,0.30312973,-0.043925524,-0.26749372
2020-01-02 00:30:00,245.97202,6.1035156e-05,-0.125,248.1646,0.2878092,-0.07087016,-0.27420807
2020-01-02 01:30:00,244.66641,6.1035156e-05,-0.125,246.06317,0.40961042,-0.07239944,-0.28151923
2020-01-02 02:30:00,243.32674,6.1035156e-05,-0.125,244.92302,0.1384646,-0.0689767,-0.27428263
2020-01-02 03:30:00,244.25081,6.1035156e-05,-0.125,246.71075,0.19539773,-0.028559804,-0.28174305
2020-01-02 04:30:00,243.5291,6.1035156e-05,-0.125,245.74489,0.14865792,-0.12796354,-0.319045
2020-01-02 05:30:00,243.25493,6.1035156e-05,-0.125,245.85129,0.33299255,-0.14485854,-0.3094957
2020-01-02 06:30:00,243.2999,6.1035156e-05,-0.125,246.01181,0.5908474,-0.11143267,-0.32404345
2020-01-02 07:30:00,243.10406,6.1035156e-05,-0.125,246.04207,0.7177605,-0.12891024,-0.33709913
2020-01-02 08:30:00,242.0632,77.599884,279356.62,245.0496,0.8244701,-0.14376622,-0.3326975
2020-01-02 09:30:00,240.70032,275.00476,990007.4,243.61685,0.90989274,-0.15403432,-0.3626883
2020-01-02 10:30:00,244.72952,448.3547,1614061.1,248.74155,0.9184228,-0.16233617,-0.30598933
2020-01-02 11:30:00,246.4703,579.6672,2086841.9,250.52101,0.93365175,-0.2004227,-0.25704914
